"approved_date","region","condition_name","brand_name","model_name","mfdate","mileage","mileage_v2","fuel_type","gearbox","price"
"2019-01-01",1,"used","Kia","Frontier","2016","2","6089","Diesel","Manual",305898000
"2019-01-01",13,"used","Mercedes Benz","E Class","2018","1","100","Petrol","Auto",2360000000
"2019-01-01",13,"used","Chevrolet","Lacetti","2013","9","43300","Petrol","Manual",290000000
"2019-01-01",2,"used","Chevrolet","Orlando","2014","21","100000","Petrol","Auto",435000000
"2019-01-01",12,"used","Kia","Morning","2015","1","3200","Petrol","Auto",298000000
"2019-01-02",12,"used","Chevrolet","Captiva","2012","11","50000","Petrol","Manual",395000000
"2019-01-02",13,"new","Ford","Everest","2019","1","0","Diesel","Auto",1112000000
"2019-01-02",13,"used","BMW","3 Series","2004","21","100000","Petrol","Both",285000000
"2019-01-02",12,"used","Mazda","6","2015","7","30000","Petrol","Auto",715000000
"2019-01-02",2,"used","Daewoo","Lacetti","2005","23","125000","Petrol","Manual",170000000
"2019-01-02",2,"used","Toyota","Innova","2014","12","55000","Petrol","Manual",580000000
"2019-01-02",2,"used","BMW","3 Series","2004","7","30000","Petrol","Auto",280000000
"2019-01-02",2,"new","Hyundai","Kona","2018","1","0","Petrol","Auto",614000000
"2019-01-02",2,"used","Chevrolet","Spark","2009","19","90000","Petrol","Manual",130000000
"2019-01-02",2,"used","Chevrolet","Spark","2009","19","90000","Petrol","Manual",130000000
"2019-01-02",3,"used","Jeep","Dòng khác","1997","6","25000","Diesel","Manual",107000000
"2019-01-02",4,"used","Ford","Ranger","2017","9","40000","Diesel","Auto",630000000
"2019-01-02",13,"used","Kia","Sedona","2016","7","31000","Petrol","Auto",980000000
"2019-01-02",13,"used","Toyota","Yaris","2007","14","65000","Petrol","Auto",268000000
"2019-01-02",3,"used","Hyundai","Coupe","2010","17","80000","Petrol","Auto",510000000
"2019-01-02",2,"used","Ford","Everest","2015","8","35000","Diesel","Auto",710000000
"2019-01-02",13,"used","Mercedes Benz","C Class","2011","13","60000","Petrol","Auto",699000000
"2019-01-02",13,"used","Chevrolet","Cruze","2017","4","16000","Petrol","Manual",447000000
"2019-01-02",13,"new","Toyota","Vios","2019","1","0","Petrol","Manual",130000000
"2019-01-02",13,"used","Toyota","Fortuner","2016","21","103500","Diesel","Manual",940000000
"2019-01-02",13,"used","Toyota","Camry","2013","11","50000","Petrol","Auto",850000000
"2019-01-02",13,"used","Honda","City","2016","1","38","Petrol","Auto",499000000
"2019-01-02",2,"used","Chevrolet","Aveo","2013","21","100000","Petrol","Manual",235000000
"2019-01-02",2,"used","Suzuki","Carry","2017","8","35000","Petrol","Manual",185000000
"2019-01-02",3,"new","Mitsubishi","Triton","2018","1","0","Diesel","Manual",555000000
"2019-01-02",12,"used","Ford","EcoSport","2014","7","30000","Petrol","Auto",505000000
"2019-01-02",13,"used","Thaco","Foton","2007","20","95000","Diesel","Manual",90000000
"2019-01-02",13,"new","Toyota","Hilux","2019","1","0","Diesel","Auto",695000000
"2019-01-02",13,"used","Toyota","Innova","2013","18","87000","Petrol","Manual",530000000
"2019-01-02",12,"used","Chevrolet","Vivant","2009","21","100000","Petrol","Manual",200000000
"2019-01-02",12,"used","Toyota","Vios","2010","19","90000","Petrol","Manual",265000000
"2019-01-02",3,"used","Toyota","Fortuner","2013","18","87000","Petrol","Auto",670000000
"2019-01-02",5,"used","Daewoo","Nubira","2001","4","19999","Petrol","Manual",100000000
"2019-01-02",13,"new","Chevrolet","Spark","2019","1","0","Petrol","Manual",299000000
"2019-01-02",13,"used","Ford","Ranger","2016","13","60000","Diesel","Auto",558000000
"2019-01-02",7,"used","Nissan","Bluebird","1992","30","195000","Petrol","Manual",70000000
"2019-01-02",8,"used","Toyota","Innova","2013","15","70000","Petrol","Manual",525000000
"2019-01-02",12,"used","Kia","Morning","2016","6","28000","Petrol","Manual",325000000
"2019-01-02",12,"used","Hyundai","Grand i10","2016","6","25000","Petrol","Manual",330000000
"2019-01-02",12,"used","LandRover","Range Rover Sport","2015","5","20000","Petrol","Auto",4200000000
"2019-01-02",12,"new","LandRover","Discovery","2016","1","0","Petrol","Auto",2890000000
"2019-01-02",2,"used","Isuzu","Dòng khác","2007","10","47512","Diesel","Manual",245000000
"2019-01-02",2,"used","Daewoo","Matiz","2006","1","1000","Petrol","Manual",95000000
"2019-01-02",13,"new","Honda","City","2018","1","0","Petrol","Auto",599000000
"2019-01-02",13,"used","Toyota","Corolla Altis","2010","22","112000","Petrol","Auto",500000000
"2019-01-02",13,"used","Toyota","Fortuner","2013","15","70000","Petrol","Auto",730000000
"2019-01-02",2,"new","Toyota","Vios","2019","1","0","Petrol","Auto",509000000
"2019-01-02",13,"new","Hyundai","Tucson","2018","1","0","Petrol","Auto",780000000
"2019-01-02",13,"new","Hyundai","Santa Fe","2019","1","0","Petrol","Both",1095000000
"2019-01-02",13,"new","Ford","Focus","2018","1","0","Petrol","Auto",735000000
"2019-01-02",13,"new","Ford","Explorer","2018","1","0","Petrol","Auto",2193000000
"2019-01-02",13,"new","Ford","EcoSport","2018","1","0","Petrol","Auto",626000000
"2019-01-02",13,"new","Ford","Everest","2018","1","0","Diesel","Manual",999000000
"2019-01-02",12,"new","Toyota","Avanza","2019","1","0","Petrol","Auto",593000000
"2019-01-02",13,"used","Volkswagen","Scirocco","2011","12","57000","Petrol","Both",550000000
"2019-01-02",13,"new","Kia","Cerato","2019","1","0","Petrol","Auto",559000000
